[1e-06, 0.0003823444141158394]
[2e-06, 0.00076996916808587401]
[3e-06, 0.0010126457923911685]
[4e-06, 0.0011959971407064745]
[4.9999999999999996e-06, 0.0013599604080657577]
[6e-06, 0.0015089430976057017]
[7e-06, 0.0016435683454363648]
[8e-06, 0.0017662835556505217]
[9e-06, 0.0018798936036355165]
[9.999999999999999e-06, 0.0019865239362925483]
[1.1e-05, 0.0020875625772824608]
[1.2e-05, 0.0021839104396303203]
[1.3e-05, 0.0022761905855498516]
[1.4e-05, 0.0023648673092345764]
[1.4999999999999999e-05, 0.0024503091677028177]
[1.6e-05, 0.0025328230137069024]
[1.7e-05, 0.0026126719666248552]
[1.8e-05, 0.0026900848619303172]
[1.8999999999999998e-05, 0.0027652621147650474]
[1.9999999999999998e-05, 0.0028383801653216628]
[2.1e-05, 0.0029095949302513631]
[2.2e-05, 0.0029790444604794785]
[2.3e-05, 0.0030468512119993254]
[2.4e-05, 0.0031131241629984378]
[2.4999999999999998e-05, 0.0031779607034914709]
[2.6e-05, 0.0032414482013473113]
[2.7e-05, 0.0033036653062304662]
[2.8e-05, 0.0033646830949898205]
[2.9e-05, 0.0034245660786409184]
[2.9999999999999997e-05, 0.0034833730496391874]
[3.1e-05, 0.0035411577853823989]
[3.2e-05, 0.0035979696503748802]
[3.2999999999999996e-05, 0.003653854119642687]
[3.4e-05, 0.0037088532250588095]
[3.5e-05, 0.0037630059311465421]
[3.6e-05, 0.0038163484563667979]
[3.7e-05, 0.0038689145520849986]
[3.7999999999999995e-05, 0.0039207357437406297]
[3.9e-05, 0.0039718415380352546]
[3.9999999999999996e-05, 0.0040222596023636861]
[4.1e-05, 0.0040720159219524484]
[4.2e-05, 0.0041211349376710643]
[4.2999999999999995e-05, 0.0041696396667740129]
[4.4e-05, 0.0042175518094141207]
[4.4999999999999996e-05, 0.0042648918436026572]
[4.6e-05, 0.0043116791104291239]
[4.7e-05, 0.0043579318909112768]
[4.8e-05, 0.0044036674758812528]
[4.9e-05, 0.0044489022301943716]
[4.9999999999999996e-05, 0.0044936516521778633]
[5.1e-05, 0.0045379304289659026]
[5.2e-05, 0.0045817524882821054]
[5.3e-05, 0.0046251310471424204]
[5.4e-05, 0.0046680786577942071]
[5.4999999999999995e-05, 0.004710607251084741]
[5.6e-05, 0.0047527281774094286]
[5.6999999999999996e-05, 0.0047944522453691471]
[5.8e-05, 0.0048357897582299685]
[5.9e-05, 0.0048767505482509082]
[5.9999999999999995e-05, 0.0049173440089441559]
[6.1e-05, 0.0049575791253387673]
[6.2e-05, 0.0049974645023174481]
[6.3e-05, 0.0050370083910910414]
[6.4e-05, 0.0050762187138747149]
[6.5e-05, 0.0051151030868300876]
[6.599999999999999e-05, 0.0051536688413335177]
[6.7e-05, 0.0051919230436242763]
[6.8e-05, 0.0052298725128812305]
[6.9e-05, 0.005267523837773078]
[7e-05, 0.0053048833915244203]
[7.099999999999999e-05, 0.0053419573455379312]
[7.2e-05, 0.005378751681613874]
[7.3e-05, 0.0054152722028116213]
[7.4e-05, 0.0054515245430039145]
[7.5e-05, 0.005487514175182397]
[7.599999999999999e-05, 0.0055232464185828037]
[7.7e-05, 0.0055587264447093448]
[7.8e-05, 0.0055939592823497286]
[7.9e-05, 0.0056289498216838306]
[7.999999999999999e-05, 0.005663702817599532]
[8.099999999999999e-05, 0.0056982228923381853]
[8.2e-05, 0.0057325145375982838]
[8.3e-05, 0.0057665821162289884]
[8.4e-05, 0.0058004298636444651]
[8.499999999999999e-05, 0.0058340618890853572]
[8.599999999999999e-05, 0.0058674821768452175]
[8.7e-05, 0.0059006945875675499]
[8.8e-05, 0.0059337028597037352]
[8.9e-05, 0.0059665106112045839]
[8.999999999999999e-05, 0.0059991213414989347]
[9.099999999999999e-05, 0.0060315384337932213]
[9.2e-05, 0.0060637651577066616]
[9.3e-05, 0.0060958046722391062]
[9.4e-05, 0.0061276600290530066]
[9.499999999999999e-05, 0.0061593341760382706]
[9.6e-05, 0.0061908299611192034]
[9.7e-05, 0.006222150136256605]
[9.8e-05, 0.0062532973615949819]
[9.9e-05, 0.0062842742097049768]
[9.999999999999999e-05, 0.0063150831698736403]
